d,n,k,errs
980,65536,18,0
812,65536,46,0
1004,65536,18,0
20,65536,20,10
44,65536,20,4
68,65536,20,0
836,65536,46,0
92,65536,20,5
860,65536,46,0
116,65536,20,1
140,65536,20,9
884,65536,46,0
164,65536,20,0
188,65536,20,0
908,65536,46,0
212,65536,20,0
236,65536,20,0
932,65536,46,0
260,65536,20,0
956,65536,46,0
284,65536,20,0
980,65536,46,0
308,65536,20,0
332,65536,20,0
356,65536,20,0
1004,65536,46,0
20,65536,48,30
44,65536,48,21
68,65536,48,25
92,65536,48,13
380,65536,20,0
404,65536,20,0
116,65536,48,36
428,65536,20,0
452,65536,20,0
140,65536,48,27
476,65536,20,0
500,65536,20,0
164,65536,48,34
524,65536,20,0
548,65536,20,0
572,65536,20,0
188,65536,48,33
596,65536,20,0
620,65536,20,0
212,65536,48,30
644,65536,20,0
668,65536,20,0
236,65536,48,34
692,65536,20,0
260,65536,48,37
716,65536,20,0
740,65536,20,0
764,65536,20,0
284,65536,48,28
788,65536,20,0
812,65536,20,0
308,65536,48,34
836,65536,20,0
860,65536,20,0
332,65536,48,28
884,65536,20,0
908,65536,20,0
356,65536,48,21
932,65536,20,0
956,65536,20,0
980,65536,20,0
380,65536,48,28
1004,65536,20,0
20,65536,22,9
44,65536,22,6
68,65536,22,2
92,65536,22,5
404,65536,48,19
116,65536,22,11
428,65536,48,1
140,65536,22,9
452,65536,48,0
164,65536,22,0
188,65536,22,1
476,65536,48,0
212,65536,22,0
236,65536,22,0
500,65536,48,0
260,65536,22,0
524,65536,48,0
284,65536,22,0
548,65536,48,0
308,65536,22,0
332,65536,22,0
572,65536,48,0
356,65536,22,0
380,65536,22,0
596,65536,48,0
404,65536,22,0
428,65536,22,0
452,65536,22,0
620,65536,48,0
476,65536,22,0
644,65536,48,0
500,65536,22,0
524,65536,22,0
668,65536,48,0
548,65536,22,0
692,65536,48,0
572,65536,22,0
596,65536,22,0
716,65536,48,0
620,65536,22,0
740,65536,48,0
644,65536,22,0
764,65536,48,0
668,65536,22,0
692,65536,22,0
788,65536,48,0
716,65536,22,0
812,65536,48,0
740,65536,22,0
836,65536,48,0
764,65536,22,0
860,65536,48,0
788,65536,22,0
884,65536,48,0
812,65536,22,0
836,65536,22,0
908,65536,48,0
860,65536,22,0
932,65536,48,0
884,65536,22,0
956,65536,48,0
908,65536,22,0
980,65536,48,0
932,65536,22,0
1004,65536,48,0
20,65536,50,33
44,65536,50,31
68,65536,50,12
956,65536,22,0
92,65536,50,21
980,65536,22,0
116,65536,50,26
1004,65536,22,0
20,65536,24,14
44,65536,24,7
68,65536,24,3
140,65536,50,36
92,65536,24,4
164,65536,50,31
116,65536,24,17
140,65536,24,1
164,65536,24,1
188,65536,50,37
188,65536,24,0
212,65536,24,0
212,65536,50,35
236,65536,24,0
260,65536,24,0
236,65536,50,30
284,65536,24,0
308,65536,24,0
260,65536,50,40
332,65536,24,0
356,65536,24,0
380,65536,24,0
284,65536,50,32
404,65536,24,0
428,65536,24,0
452,65536,24,0
308,65536,50,31
476,65536,24,0
500,65536,24,0
332,65536,50,36
524,65536,24,0
548,65536,24,0
572,65536,24,0
356,65536,50,27
596,65536,24,0
620,65536,24,0
644,65536,24,0
668,65536,24,0
380,65536,50,36
692,65536,24,0
716,65536,24,0
740,65536,24,0
404,65536,50,22
764,65536,24,0
428,65536,50,1
788,65536,24,0
452,65536,50,0
812,65536,24,0
836,65536,24,0
476,65536,50,0
860,65536,24,0
884,65536,24,0
500,65536,50,0
908,65536,24,0
932,65536,24,0
524,65536,50,0
956,65536,24,0
548,65536,50,0
980,65536,24,0
572,65536,50,0
1004,65536,24,0
20,65536,26,14
44,65536,26,10
68,65536,26,12
92,65536,26,5
596,65536,50,0
116,65536,26,13
140,65536,26,15
620,65536,50,0
164,65536,26,7
