k,d,max_steps,n,acc
1,1008,1,1048576,1.0
1,1008,2,256,1.0
1,1008,2,4096,1.0
1,1008,2,65536,1.0
1,1008,2,1048576,1.0
1,1008,4,256,1.0
1,1008,4,4096,1.0
1,1008,4,65536,1.0
1,1008,4,1048576,1.0
1,1008,64,256,1.0
1,1008,64,4096,1.0
1,1008,64,65536,1.0
1,1008,64,1048576,1.0
1,1024,1,256,1.0
1,1024,1,4096,1.0
1,1024,1,65536,1.0
1,1024,1,1048576,1.0
1,1024,2,256,1.0
1,1024,2,4096,1.0
1,1024,2,65536,1.0
1,1024,2,1048576,1.0
1,1024,4,256,1.0
1,1024,4,4096,1.0
1,1024,4,65536,1.0
1,1024,4,1048576,1.0
1,1024,64,256,1.0
1,1024,64,4096,1.0
1,1024,64,65536,1.0
1,1024,64,1048576,1.0
2,16,1,256,0.5048076923076923
2,16,1,4096,0.061875
2,16,1,65536,0.0009375
2,16,1,1048576,0.0
2,16,2,256,0.65625
2,16,2,4096,0.1875
2,16,2,65536,0.01625
2,16,2,1048576,0.0
2,16,4,256,0.6783088235294118
2,16,4,4096,0.1790625
2,16,4,65536,0.0115625
2,16,4,1048576,0.0003255208333333333
2,16,64,256,0.6871875
2,16,64,4096,0.189375
2,16,64,65536,0.009885204081632654
2,16,64,1048576,0.0
2,32,1,256,0.9840745192307693
2,32,1,4096,0.871875
2,32,1,65536,0.4975
2,32,1,1048576,0.111328125
2,32,2,256,0.9905024509803921
2,32,2,4096,0.935
2,32,2,65536,0.6409375
2,32,2,1048576,0.23665364583333334
2,32,4,256,0.9926470588235294
2,32,4,4096,0.9271875
2,32,4,65536,0.6496875
2,32,4,1048576,0.2421875
2,32,64,256,0.9934375
2,32,64,4096,0.914375
2,32,64,65536,0.6463647959183674
2,32,64,1048576,0.2309027777777778
2,48,1,256,1.0
