# run: do-look-real-research
# time: 2025-11-20T11:22:13.426162+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 1048576, "max_factor": 9, "max_eta": 0.4, "max_steps": 3, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,72,1.0,0.0317460335791111,4.857142448425293,354
1,74,1.0,0.0317460335791111,5.0,355
1,76,1.0,0.0317460335791111,5.142857074737549,356
1,78,1.0,0.0317460335791111,5.285714149475098,357
1,80,1.0,0.0317460335791111,5.4285712242126465,358
1,82,1.0,0.0317460335791111,5.571428298950195,359
1,84,1.0,0.0317460335791111,5.714285373687744,360
1,87,1.0,0.0317460335791111,5.857142925262451,361
1,89,1.0,0.0317460335791111,6.0,362
1,91,1.0,0.0317460335791111,6.142857074737549,363
1,93,1.0,0.0317460335791111,6.285714149475098,364
1,95,1.0,0.0317460335791111,6.4285712242126465,365
1,97,1.0,0.0317460335791111,6.571428298950195,366
1,99,1.0,0.0317460335791111,6.714285850524902,367
1,101,1.0,0.0317460335791111,6.857142925262451,368
1,104,1.0,0.0317460335791111,7.0,369
1,106,1.0,0.0317460335791111,7.142857074737549,370
1,108,1.0,0.0317460335791111,7.285714149475098,371
1,110,1.0,0.0317460335791111,7.4285712242126465,372
1,112,1.0,0.0317460335791111,7.571428298950195,373
1,114,1.0,0.0317460335791111,7.714285850524902,374
1,116,1.0,0.0317460335791111,7.857142925262451,375
1,118,1.0,0.0317460335791111,8.0,376
1,121,1.0,0.0317460335791111,8.142857551574707,377
1,123,1.0,0.0317460335791111,8.285714149475098,378
1,125,1.0,0.0317460335791111,8.428571701049805,379
1,127,1.0,0.0317460335791111,8.571428298950195,380
1,129,1.0,0.0317460335791111,8.714285850524902,381
1,131,1.0,0.0317460335791111,8.857142448425293,382
1,133,1.0,0.0317460335791111,9.0,383
1,1,0.0,0.03809523954987526,0.0,384
1,2,0.0,0.03809523954987526,0.1428571492433548,385
1,4,0.0,0.03809523954987526,0.2857142984867096,386
1,6,0.0,0.03809523954987526,0.4285714626312256,387
1,8,0.0,0.03809523954987526,0.5714285969734192,388
1,10,0.0,0.03809523954987526,0.7142857313156128,389
